image_loc,label
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-59800_1.png,( z )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-73030_2.png,a _ { 3 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-75972_0.png,( i )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-39785_2.png,4 ^ { 4 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-33536_2.png,0 1
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-131-341.png,e
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2019-62484.png,[ x _ { j } ]
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-57102_0.png,\frac { 1 } { d }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-35253_0.png,2 1
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/MfrDB1683.png,\frac { 1 0 0 ! } { 9 7 ! \cdot 6 ! }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-43249_0.png,1 0
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-82136_1.png,\frac { t } { v } p ^ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/formulaire032-equation036.png,\frac { \sqrt { 0 } } { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2019-26341.png,r _ { i - 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-4787_2.png,R B
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-35474_1.png,0 1
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-13503_0.png,[ 9 ] ^ { x }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-18484_0.png,( \theta )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1254-15.png,\frac { { A - \mbox { h } } } { \mbox { N } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-131-280.png,\mbox { P r }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-37031_1.png,\int b
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/formulaire032-equation066.png,\frac { - 1 + i \sqrt { 3 } } { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-47245_1.png,a _ { 3 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/rit_4280_2.png,\sqrt { \sqrt { 2 } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-43115_1.png,7 7
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-69852_1.png,\frac { j } { t }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1253-123.png,\sum { j }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-75821_0.png,8 !
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-17373_1.png,q _ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1254-366.png,H
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-81462_2.png,V _ { 0 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-68711_2.png,- 1
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2019-58255.png,n _ { i 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2023_corpus-2755.png,p i
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/formulaire011-equation058.png,e ^ { - x ^ 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/RIT_2014_50.png,\sqrt { x ^ { 5 } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-37769_1.png,1 3
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-77943_1.png,C _ { 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-77524_0.png,( 3 )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-13480_2.png,x ^ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/109_user0.png,\sqrt { x } { \frac { a } { b } } = \frac { \sqrt { x } { a } } { \sqrt { x } { b } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-76366_2.png,\int _ { - n } ^ { n } f ^ { 3 } x
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-54577_1.png,( z )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-5043_1.png,x ^ { 0 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-10522_0.png,2 I
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-11133_2.png,x a
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-78206_0.png,1 1
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-74533_2.png,\int d ^ { 5 } x
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-73334_0.png,r _ { p }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-47700_2.png,( y )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-2998_0.png,b T
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-43102_2.png,2 0
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-44419_2.png,x ^ { 0 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-61370_2.png,d ( a )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-50474_1.png,x b
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1254-355.png,{ - d }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-40024_1.png,b _ { b }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-20406_1.png,p ^ { \prime }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-19373_0.png,c ^ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-4435_2.png,y ( x )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-6745_1.png,b S
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-20785_1.png,i _ { 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-21352_2.png,n ^ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-10798_2.png,\sum c
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-38187_0.png,6 9
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-29748_1.png,1 2
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-83856_1.png,\sqrt { F }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-47447_0.png,x _ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/MfrDB0979.png,4 \pi { r ^ { 2 } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-67995_0.png,\frac { 5 } { 5 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-83503_2.png,2 ^ { - \frac { 3 } { 2 } } 3 ^ { - \frac { 3 } { 2 } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/formulaire024-equation026.png,\frac { b } { \sqrt { 1 - e ^ 2 } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-43710_0.png,9 3 1
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1556-229.png,\frac { { \cdots + \gamma } } { \left [ N \right ] }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2023_corpus-3065.png,{ \frac { 3 \sqrt { \pi } } { 2 R } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-85394_2.png,\int d x _ { 1 } \int d x _ { 3 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-7524_1.png,\frac { x } { c }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-74043_1.png,a ^ { 3 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-41452_1.png,2 0
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-72355_1.png,i _ { 0 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/formulaire055-equation023.png,\frac { 1 } { 1 + x }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2019-22732.png,g _ { M } = \frac { r _ { M } } { z _ { M } ^ { 2 } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-80745_1.png,x ^ { 2 } 3 x
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-76283_2.png,\sqrt { q }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/2009210-947-80.png,e ^ { \int x ^ 2 d x }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-65881_0.png,( x )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-29326_1.png,r ^ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-59168_0.png,( i )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-41690_2.png,9 4 4
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-8493_1.png,4 \Delta
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-71786_2.png,"4 , \pi k"
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-15207_0.png,p _ { C }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1553-309.png,G
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2019-5691.png,\frac { 1 } { 1 0 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-2068_1.png,a ^ { 7 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-10946_0.png,2 6
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-73354_2.png,a ^ { a }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/formulaire019-equation019.png,1 0 ^ { - p }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-8235_0.png,\sum m
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-16977_0.png,i _ { i }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2019-23095.png,I - H
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200924-1312-214.png,{ \mbox { d } } ^ { { \cdots + A } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-45073_2.png,g ^ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-15128_1.png,- \frac { 1 } { \beta - \alpha }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/MfrDB1789.png,{ ( a ) ^ { - 1 } } - 1
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-10430_1.png,z ^ { 3 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/MfrDB1463.png,S _ { n } = \sum _ { k = 1 } ^ { n } a _ { k }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-52786_1.png,c t
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-35196_0.png,f ( u _ { 2 } )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-5662_1.png,R ^ { 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-65294_1.png,x ^ { 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/formulaire031-equation056.png,x _ 1 ( y )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2019-39937.png,p \geq 5
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-15600_1.png,( z _ { 1 } )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/MfrDB1539.png,\frac { { 2 ^ { 5 } } } { 3 + 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-60204_1.png,n ^ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-24233_0.png,8 1
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/105_em_87.png,f = \frac { \sqrt { 5 } } { R C }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-7360_1.png,x x
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-17801_1.png,d _ { 3 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-14633_1.png,( a )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-53261_0.png,\frac { \pi } { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1251-216.png,\frac { { \cdots + \sum { \mbox { H } } } } { \mbox { f } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-17896_1.png,P d
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2019-38592.png,V _ { r e f }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-7178_2.png,( 8 )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-18724_0.png,( 1 + 1 + 1 )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1556-65.png,{ \beta \mbox { r } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-63986_0.png,y S _ { a }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-66646_2.png,i _ { 3 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-77185_0.png,\theta _ { 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_LaTeX_data_CROHME_2019-7210.png,{ A } _ { 6 } ^ { ( 1 ) }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/2009210-947-131.png,{ \mbox { S i A } } _ { \sigma }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-8755_2.png,b ^ { 3 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/rit_42120_1.png,\frac { 1 } { \cos ^ { 2 } \times }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200924-1312-146.png,{ \cdots + \frac { t } { y } }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-49161_2.png,c ^ { c }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1254-149.png,\mu
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/form_012_E91.png,\frac { 1 } { 2 \sqrt 3 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-1660_0.png,y ^ { 6 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/200923-1254-300.png,\left ( { A + \mbox { Y } } \right )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-37005_1.png,y ^ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-27167_1.png,0 1 4
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-31525_1.png,5 4
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-18484_1.png,( \theta )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-20704_1.png,( \theta - \theta _ { 3 } ) - r _ { 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-50958_2.png,d _ { 2 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-44899_1.png,x ^ { 1 }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-36297_2.png,\int _ { a } ^ { d } d
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-40122_2.png,( t )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-14000_0.png,( n )
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-68549_2.png,8 ^ { x }
/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/IMG_RENDERED/gen_syntactic_data-29056_1.png,( s _ { i } )
