	image_loc	label
16	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB0225_0.bmp	1 + 1 = 2
17	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-16_0.bmp	y
18	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire015-equation027_0.bmp	u ( \theta _ { 0 } , p ) = 0
19	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire021-equation032_0.bmp	a _ { i , j } = a _ { i - 1 , j + 1 }
20	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire028-equation044_0.bmp	d ^ { 3 } u
21	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009212-952-29_0.bmp	j
22	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200924-1331-158_0.bmp	t
23	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire017-equation016_0.bmp	y = \frac { - 1 - 4 x } { 2 }
24	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1254-52_0.bmp	6 . 4
25	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2094_0.bmp	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
26	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009212-952-30_0.bmp	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
27	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/KME2G3_27_sub_81_0.bmp	\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
28	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire025-equation051_0.bmp	e ^ { ( k ) }
29	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB0055_0.bmp	\frac { 1 } { 2 } + \frac { 2 } { 3 } + \frac { 3 } { 4 } + \frac { 4 } { 5 } + \frac { 5 } { 6 }
30	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire030-equation033_0.bmp	\int d x
31	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire014-equation037_0.bmp	\frac { 1 } { 1 + x } = 1 - x + x ^ { 2 } - x ^ { 3 } + \ldots + ( - 1 ) ^ { n } x ^ { n } + o ( x ^ { n } )
32	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire010-equation074_0.bmp	( p _ { 1 } , q _ { 1 } ) \leq ( p _ { 2 } , q _ { 2 } )
33	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009212-1031-39_0.bmp	i ( [ 0 ] )
34	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1405_0.bmp	\frac { 1 } { 2 } x = 1 0
35	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009212-1031-50_0.bmp	\frac { [ t ] } { \sum P }
36	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200924-1331-22_0.bmp	8 . 3
37	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-131-309_0.bmp	f
38	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1934_0.bmp	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
39	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-150_0.bmp	z ^ { \cdots - h }
40	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire023-equation074_0.bmp	x = 1 0 + 0 , 7
41	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire003-equation038_0.bmp	x ^ { 5 } + d x ^ { 2 } + e x + f
42	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1994_0.bmp	\sum _ { m = 0 } ^ { M } \sum _ { n = 0 } ^ { N } a _ { m , n }
43	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire020-equation036_0.bmp	2 ^ { 6 0 }
44	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-135_0.bmp	S
45	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200924-1312-150_0.bmp	\cdots - [ F ]
46	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire007-equation023_0.bmp	8 y _ { i + 1 }
47	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200924-1331-220_0.bmp	t
48	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire004-equation026_0.bmp	3 n - 5
49	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200924-1331-253_0.bmp	\sum G + j
50	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200922-1017-18_0.bmp	a ^ { x } + b ^ { x } + \frac { c } { 2 }
51	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1254-202_0.bmp	y i
52	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire003-equation030_0.bmp	1 8 6 \pm 6 + 9 8 + 1 7 6 + 9 2
53	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB0987_0.bmp	X = 1 + 4
54	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-137-61_0.bmp	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
55	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2300_0.bmp	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
56	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire013-equation051_0.bmp	k \leq 4
57	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-95_0.bmp	\gamma ^ { \sqrt { v } }
58	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire028-equation073_0.bmp	f = d ^ { 5 } a _ { 4 } + 5 b d ^ { 4 } a _ { 5 } = - 3 2
59	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-116_0.bmp	M + [ H ]
60	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire018-equation018_0.bmp	z - 2
61	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009210-947-40_0.bmp	7 2
62	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200922-1017-102_0.bmp	z
63	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200924-1331-21_0.bmp	d
64	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire033-equation067_0.bmp	2 m g l
65	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1553-271_0.bmp	\sqrt { Y }
66	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200926-1550-150_0.bmp	\sqrt { p _ { z } }
67	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1099_0.bmp	3 + 1 = 4
68	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-101_0.bmp	k - a = h - f
69	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire036-equation057_0.bmp	a , b , c
70	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009212-1031-63_0.bmp	9
71	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire002-equation033_0.bmp	f ( x _ { \theta } )
72	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire019-equation023_0.bmp	( \frac { 1 } { 2 } a ) + \sqrt { ( \frac { 1 } { 4 } a a ) + ( b b ) }
73	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-137-211_0.bmp	u _ { \theta }
74	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/KME1G3_4_sub_22_0.bmp	\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt { \pi } } { 2 }
75	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-131-30_0.bmp	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
76	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire006-equation025_0.bmp	1 8 9 \pm 1 5 9 \times ( 5 0 \times 9 9 )
77	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1556-88_0.bmp	[ y ]
78	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire003-equation044_0.bmp	h = l + m + n
79	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200926-1617-228_0.bmp	3 3 . 5
80	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire015-equation028_0.bmp	X ^ { 3 } - X ^ { 2 } - 2 X + 1 = 0
81	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1777_0.bmp	V = a \cdot b \cdot c
82	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-131-202_0.bmp	F l _ { X }
83	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-131-29_0.bmp	8
84	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire002-equation043_0.bmp	y = \frac { 1 } { Y }
85	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB3048_0.bmp	\lim _ { x \rightarrow c } f ( x ) = f ( c )
86	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200922-1017-24_0.bmp	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
87	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1553-262_0.bmp	x ^ { \frac { T } { g _ { E E } } }
88	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire021-equation050_0.bmp	( ( 1 2 6 \times 1 3 0 ) \times 1 6 2 ) \div ( 1 6 8 - 1 6 1 - 3 2 ) \neq - 1 1 5 4 2
89	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-105_0.bmp	j - o - 6 = 5 . 4
90	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-131-233_0.bmp	N
91	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200926-1550-30_0.bmp	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
92	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009210-947-82_0.bmp	N Y _ { I }
93	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009212-1031-37_0.bmp	\frac { R } { ( p ) }
94	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire022-equation062_0.bmp	u ( x - x _ { 0 } ) + v ( y - y _ { 0 } ) = 0
95	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire025-equation050_0.bmp	( ( 8 \div 1 3 0 ) \div ( 1 9 0 \times 1 2 ) ) \times ( ( 8 6 + 1 4 7 ) - ( 8 4 \div 0 ) ) \neq 2 1 4 7 4 8 3 6 4 7
96	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire033-equation039_0.bmp	p - 1 , p
97	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire008-equation005_0.bmp	2 0 + ( 9 6 \div 9 2 ) = 2 1 . 0 4
98	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200922-947-83_0.bmp	\int ^ { H } _ { \sigma - n } 4 d g _ { j }
99	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2883_0.bmp	\int \limits _ { 0 } ^ { + \infty } x ^ { n } e ^ { - x } d x = n !
100	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1253-255_0.bmp	- o
101	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200926-1617-78_0.bmp	\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
102	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire029-equation055_0.bmp	3 6 \times 1 3 7 = 4 9 3 2
103	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/129_Nina_0.bmp	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
104	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire030-equation004_0.bmp	f ( y ) - f ( x ) = \int _ { x } ^ { y } g ( t ) d t
105	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/65_daniel_0.bmp	x = r \cos \theta
106	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1254-326_0.bmp	T ^ { c + L } ( m )
107	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2429_0.bmp	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
108	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200926-1617-72_0.bmp	\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
109	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1899_0.bmp	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
110	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1629_0.bmp	\sqrt [ 8 ] { \frac { x - 5 } { 3 - y } }
111	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1301_0.bmp	\sin \frac { \pi } { 4 } = \cos \frac { \pi } { 4 } = \frac { \sqrt { 2 } } { 2 }
112	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200926-1550-38_0.bmp	\frac { 4 } { 3 } \pi r ^ { 3 }
113	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire025-equation024_0.bmp	1 - \cos ^ { 2 } x = ( 1 - \cos x ) ( 1 + \cos x )
114	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009210-947-72_0.bmp	\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
115	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1657_0.bmp	y = x ^ { z }
116	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire027-equation039_0.bmp	n Y _ { 2 } ^ { ( n ) }
117	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2291_0.bmp	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
118	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009220-1327-66_0.bmp	\frac { \sqrt { 1 + \cos ^ { 2 } ( \theta ) } } { 2 } = \cos ( 2 \theta )
119	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/96_alfonso_0.bmp	y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s
120	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200922-949-166_0.bmp	- \pi
121	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire018-equation064_0.bmp	1 + \log _ { 3 } ( 2 )
122	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-137-10_0.bmp	m ^ { b }
123	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009212-1031-55_0.bmp	7 . 7 R
124	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1088_0.bmp	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }
125	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire023-equation052_0.bmp	d ( p + 1 , 0 ) = 0
126	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire038-equation009_0.bmp	f ( s t ) = f ( t s )
127	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/118_fujita_0.bmp	P ( x ) = \sum _ { i = 0 } ^ { n } a _ { j } x ^ { j }
128	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009210-947-137_0.bmp	\tan h
129	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2204_0.bmp	a x + b < c
130	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire021-equation054_0.bmp	x ( t ) = x ( t - 1 )
131	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire017-equation013_0.bmp	y _ { 1 } ( x )
132	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1253-24_0.bmp	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
133	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire025-equation044_0.bmp	( e _ { 1 } , \ldots , e _ { n } )
134	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire030-equation026_0.bmp	b _ { 1 3 }
135	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1254-274_0.bmp	\sum n
136	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200925-1126-184_0.bmp	h
137	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200922-947-190_0.bmp	\int \theta + F d n
138	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/KME2G3_5_sub_35_0.bmp	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
139	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB3085_0.bmp	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
140	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB0079_0.bmp	\lim _ { x \rightarrow a } \frac { f ( x ) } { g ( x ) } = \lim _ { x \rightarrow a } \frac { f ^ { ' } ( x ) } { g ^ { ' } ( x ) }
141	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200926-131-32_0.bmp	a x ^ { 4 } + b x + c = 0
142	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200926-1617-163_0.bmp	\alpha
143	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1531_0.bmp	\sqrt { x ^ { 2 } } = | x |
144	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/94_Frank_0.bmp	\frac { a } { \sin A } = \frac { b } { \sin B } = \frac { c } { \sin C }
145	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire035-equation006_0.bmp	( ( - 1 ) ^ { n } n )
146	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire028-equation004_0.bmp	g _ { i } ( x , y , z ) = 0
147	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1289_0.bmp	\lim _ { n \rightarrow \infty } x _ { n } = L
148	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire028-equation051_0.bmp	a = \frac { y } { x }
149	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire022-equation045_0.bmp	1 8 3 \times 9 9 \geq 1 8 1 1 6
150	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/105_lucelia_0.bmp	\frac { b ^ { 2 } c ^ { 2 } - 4 b ^ { 3 } d - 4 a c ^ { 3 } + 1 8 a b c d - 2 7 a ^ { 2 } d ^ { 2 } } { a ^ { 4 } }
151	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire017-equation043_0.bmp	a b + n c = 1
152	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200922-1017-65_0.bmp	c _ { t }
153	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2832_0.bmp	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
154	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1556-7_0.bmp	\sum _ { m } f ( m + 3 )
155	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire004-equation048_0.bmp	c ( 0 ) = 1
156	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/96_bruno_0.bmp	y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s
157	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200924-1331-286_0.bmp	B + j ^ { A }
158	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009212-952-115_0.bmp	H
159	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-131-276_0.bmp	( - \int y _ { e } d a ) ^ { i }
160	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire034-equation035_0.bmp	1 1 7 \pm 8 5 \div 1 0 9
161	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1254-242_0.bmp	6
162	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1251-135_0.bmp	\sum E
163	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire037-equation038_0.bmp	2 \times e
164	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1553-281_0.bmp	( \sqrt { i } )
165	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200922-947-220_0.bmp	0 . 1
166	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/126_user0_0.bmp	| x - \frac { p _ { n } } { q _ { n } } | \leq \frac { 1 } { q _ { n } q _ { n + 1 } } < \frac { 1 } { q _ { n } ^ { 2 } }
167	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200923-1254-198_0.bmp	\cdots - z - \Delta
168	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/KME2G3_6_sub_30_0.bmp	\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
169	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-137-83_0.bmp	\cdots + q _ { L }
170	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire006-equation036_0.bmp	\cos ( 2 x ) = \cos ^ { 2 } ( x ) - \sin ^ { 2 } ( x )
171	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1231_0.bmp	\frac { 2 ^ { 5 } } { 3 + 1 }
172	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-85_0.bmp	\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }
173	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200924-1312-4_0.bmp	V _ { V }
174	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1534_0.bmp	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
175	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/KME2G3_18_sub_95_0.bmp	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
176	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200922-947-135_0.bmp	( r C )
177	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB1820_0.bmp	V = a \cdot b \cdot c
178	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire025-equation013_0.bmp	\cos ^ { 2 } \phi + \sin ^ { 2 } \phi = 1
179	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-79_0.bmp	\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } }
180	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire021-equation031_0.bmp	f ^ { ( n ) }
